fastq,expected_md5_checksum,actual_md5_checksum,md5_matches
CRR710864_r2.fq.gz,c7e6aec2054a7fe187d6218ec59f611b,c7e6aec2054a7fe187d6218ec59f611b,True
CRR710865_f1.fq.gz,2b55ed789046b3ddcb1ad448547d5f31,2b55ed789046b3ddcb1ad448547d5f31,True
CRR710865_r2.fq.gz,b33974be3235804339f8be148b52007d,b33974be3235804339f8be148b52007d,True
CRR710866_f1.fq.gz,896dcd5ff3296c8c489ed16855fc3c80,896dcd5ff3296c8c489ed16855fc3c80,True
CRR710866_r2.fq.gz,3fb17e7a9e43903b7ff2703a2a31aa5c,3fb17e7a9e43903b7ff2703a2a31aa5c,True
CRR710867_f1.fq.gz,b595990e9eb0dbf6cc5561b788cc0abf,b595990e9eb0dbf6cc5561b788cc0abf,True
CRR710867_r2.fq.gz,2bb24465aa9d1cd653aac268cbdd759a,2bb24465aa9d1cd653aac268cbdd759a,True
CRR710868_f1.fq.gz,f82b755034c90403c9c63b245c47aa68,f82b755034c90403c9c63b245c47aa68,True
CRR710868_r2.fq.gz,73ca92a5e5aed3d52514979d3e055572,73ca92a5e5aed3d52514979d3e055572,True
CRR710869_f1.fq.gz,212d772b7fcbf92a22cec24fc9dab0af,212d772b7fcbf92a22cec24fc9dab0af,True
CRR710869_r2.fq.gz,ee951cbfd15a57bb27abc8829296f38a,ee951cbfd15a57bb27abc8829296f38a,True
CRR710870_f1.fq.gz,61a55bfed5e0322267ce3e753875c81f,61a55bfed5e0322267ce3e753875c81f,True
CRR710870_r2.fq.gz,564732ddc0e64268e0cab2fbce6bee56,564732ddc0e64268e0cab2fbce6bee56,True
CRR710871_f1.fq.gz,f356c2468f440221df9420e6a9482d3f,f356c2468f440221df9420e6a9482d3f,True
CRR710871_r2.fq.gz,15decaffeb2e52f556004e8cc14bde3f,15decaffeb2e52f556004e8cc14bde3f,True
CRR710872_f1.fq.gz,bcf7519cd437640a6a85c6ca9ae0f2ad,bcf7519cd437640a6a85c6ca9ae0f2ad,True
CRR710872_r2.fq.gz,c2d9eae61e735074824f86ffe3bcc8f0,c2d9eae61e735074824f86ffe3bcc8f0,True
CRR710873_f1.fq.gz,cb1b6089d8acbbf22f3609d56abec19f,cb1b6089d8acbbf22f3609d56abec19f,True
CRR710873_r2.fq.gz,bd731bbe56b2a2120646956930da2305,bd731bbe56b2a2120646956930da2305,True
CRR710874_f1.fq.gz,3d7590f98ed8f9d0238ff6c1e39d097e,3d7590f98ed8f9d0238ff6c1e39d097e,True
CRR710874_r2.fq.gz,2431e27166c2f13829893dd307cbdf36,2431e27166c2f13829893dd307cbdf36,True
CRR710875_f1.fq.gz,561bc3f43ebc14657e30e2674ce80061,561bc3f43ebc14657e30e2674ce80061,True
CRR710875_r2.fq.gz,69ca545b4bcd5e810c483998eee3d853,69ca545b4bcd5e810c483998eee3d853,True
CRR710876_f1.fq.gz,d93d62919e13e533ac120b863b250ed7,d93d62919e13e533ac120b863b250ed7,True
CRR710876_r2.fq.gz,6f48f21970d95d88422924367e2b2939,6f48f21970d95d88422924367e2b2939,True
CRR710877_f1.fq.gz,f6c1ff121eb79bd759d6daa84d86e790,f6c1ff121eb79bd759d6daa84d86e790,True
CRR710877_r2.fq.gz,fc60f7ed99d3208d623ca1de66e4a62e,fc60f7ed99d3208d623ca1de66e4a62e,True
CRR710878_f1.fq.gz,f93cf55bca1256c6024c647da745faef,f93cf55bca1256c6024c647da745faef,True
CRR710878_r2.fq.gz,c975a19638684e28418ddcc2af61fdc9,c975a19638684e28418ddcc2af61fdc9,True
CRR710879_f1.fq.gz,7b30f82472a91519f995d98514d185ed,7b30f82472a91519f995d98514d185ed,True
CRR710879_r2.fq.gz,1702f1b5042813e5f4505ad7639f0a96,1702f1b5042813e5f4505ad7639f0a96,True
CRR710880_f1.fq.gz,af25666798aeaa8af964bcdacf384ea6,af25666798aeaa8af964bcdacf384ea6,True
CRR710880_r2.fq.gz,0fedd88df168f4a11351cc2956a06e8a,0fedd88df168f4a11351cc2956a06e8a,True
CRR710881_f1.fq.gz,3bb3b2584cd4ca02f42a7fae83cece5b,3bb3b2584cd4ca02f42a7fae83cece5b,True
CRR710881_r2.fq.gz,976aecbe3cbcfb76f81de71a135ed02b,976aecbe3cbcfb76f81de71a135ed02b,True
CRR710882_f1.fq.gz,7139af55e335137429ba53a78fd4311c,7139af55e335137429ba53a78fd4311c,True
CRR710882_r2.fq.gz,48f893021d0719c654cefbdc735bff42,48f893021d0719c654cefbdc735bff42,True
CRR710883_f1.fq.gz,1e34d405e549898be32cd42f398b5e8b,1e34d405e549898be32cd42f398b5e8b,True
CRR710883_r2.fq.gz,5aa14908c2168226af2fab9818086777,5aa14908c2168226af2fab9818086777,True
CRR710884_f1.fq.gz,1211ee1ced6483b834f0dde9473fda18,1211ee1ced6483b834f0dde9473fda18,True
CRR710884_r2.fq.gz,a23b3e4c6719acf063fb42d6f0c4577b,a23b3e4c6719acf063fb42d6f0c4577b,True
CRR710885_f1.fq.gz,c2f1d83297d36f0b61801538c80872b7,c2f1d83297d36f0b61801538c80872b7,True
CRR710885_r2.fq.gz,a4ccf5722fad3ab11cc1b8c46c56e9e6,a4ccf5722fad3ab11cc1b8c46c56e9e6,True
CRR710886_f1.fq.gz,aa0e4285c3a02e7f33c4b598c122c661,aa0e4285c3a02e7f33c4b598c122c661,True
CRR710886_r2.fq.gz,2747e8125b54dd4dcdbbf95ae027c65f,2747e8125b54dd4dcdbbf95ae027c65f,True
CRR710887_f1.fq.gz,a8c4089a39a25b65ec320b463468c842,a8c4089a39a25b65ec320b463468c842,True
CRR710887_r2.fq.gz,9708bca460d1fa413850dfa82301df80,9708bca460d1fa413850dfa82301df80,True
CRR710888_f1.fq.gz,301d425851b06f035c5d361f02985e36,301d425851b06f035c5d361f02985e36,True
CRR710888_r2.fq.gz,4fd1a140dab54981990597230adb21a0,4fd1a140dab54981990597230adb21a0,True
CRR710889_f1.fq.gz,ce32849599cb456ed17d94a72e6c202a,ce32849599cb456ed17d94a72e6c202a,True
CRR710889_r2.fq.gz,b9ec67a9639901db3965e4fbee176db6,b9ec67a9639901db3965e4fbee176db6,True
CRR710890_f1.fq.gz,f8453537e46475a5e934498ebdee1ad8,f8453537e46475a5e934498ebdee1ad8,True
CRR710890_r2.fq.gz,b49ddb5e7578d66407f12e9c5d4e5377,b49ddb5e7578d66407f12e9c5d4e5377,True
CRR710891_f1.fq.gz,14fbac58545ae3c2a3a11443e7f0d8a0,14fbac58545ae3c2a3a11443e7f0d8a0,True
CRR710891_r2.fq.gz,ed4eae2eb75914c9ec10f01228d3392a,ed4eae2eb75914c9ec10f01228d3392a,True
CRR710892_f1.fq.gz,1f4aff360aaa8e29c246c88234cb590f,1f4aff360aaa8e29c246c88234cb590f,True
